Age	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
40	PMS2	END	0,000000	30	0
41	PMS2	END	0,000000	30	0
42	PMS2	END	0,000000	30	0
43	PMS2	END	0,000000	30	0
44	PMS2	END	0,000000	30	0
45	PMS2	END	0,000000	29	0
46	PMS2	END	0,000000	29	0
47	PMS2	END	0,000000	29	0
48	PMS2	END	0,000000	29	0
49	PMS2	END	0,000000	29	0
50	PMS2	END	0,024390	41	1
51	PMS2	END	0,024390	41	1
52	PMS2	END	0,024390	41	1
53	PMS2	END	0,024390	41	1
54	PMS2	END	0,024390	41	1
55	PMS2	END	0,029412	34	1
56	PMS2	END	0,029412	34	1
57	PMS2	END	0,029412	34	1
58	PMS2	END	0,029412	34	1
59	PMS2	END	0,029412	34	1
60	PMS2	END	0,000000	30	0
61	PMS2	END	0,000000	30	0
62	PMS2	END	0,000000	30	0
63	PMS2	END	0,000000	30	0
64	PMS2	END	0,000000	30	0
65	PMS2	END	0,000000	10	0
66	PMS2	END	0,000000	10	0
67	PMS2	END	0,000000	10	0
68	PMS2	END	0,000000	10	0
69	PMS2	END	0,000000	10	0
70	PMS2	END	0,000000	10	0
